Job-Title,Agency,Post-Level,Location,Deadline,Category,Job-Link
* PMU State Coordinator,UNDP,NPSA-8,"Bhubaneswar, India","Mar-11-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16621
"* Monitoring, Impact and Knowledge Management Specialist",UNDP,NPSA-10,"Lahore, Pakistan","Mar-11-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16618
"* Social Economic, Policy and Inclusion Specialist",UNDP,NPSA-10,"Lahore, Pakistan","Mar-11-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16614
* Project Associate – Monitoring and Evaluation,UNDP,,"Bhubaneswar, India","Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16664
* Project Associate - Sustainable Livelihood and Skill development,UNDP,,"Bhubaneswar, India","Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16666
* Financing for Development Specialist,UNDP,NPSA-10,"Lahore, Pakistan","Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16670
* Communications & Outreach Analyst,UNDP,NPSA-9,"Lahore, Pakistan","Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16671
"* Project Officer (PVTGs, Art 273, PMAAGY)",UNDP,NPSA-8,"Bhubaneswar, India","Mar-14-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16686
International Consultant – Digitalization for Women Economic Empowerment (D4WEE),UNWomen,International Consultant,"Islamabad,  PAKISTAN                      ","Mar-15-24
",External,cj_view_job.cfm?cur_job_id=115544
* Admin & Finance Associate,UNDP,NPSA-6,"Lahore, Pakistan","Mar-15-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16716
"Internship Opportunity with the Partnerships, Policy and Communications Unit (UNCDF)",UNCDF,Intern,"New York,  UNITED STATES OF AMERICA      ","Mar-30-24
",External,cj_view_job.cfm?cur_job_id=110263
"Intern, Local Transformative Finance UNCDF Regional Office for West and Central Africa",UNCDF,Intern,"Dakar,  SENEGAL                       ","Apr-16-24
",External,cj_view_job.cfm?cur_job_id=115138
* Energy Analyst,UNDP,NPSA-9,"Kabul, Afghanistan","Mar-4-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16235
* Asociado(a) de Proyecto en Nivel de Referencia de Emisiones Forestales,UNDP,NPSA-7,"Quito, Ecuador","Mar-4-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/15842
* Project Associate,UNDP,NPSA-7,Moldova,"Mar-4-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16204
